['INFO ]2023-07-03 16:42:54,561(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Login Page - user clicks sign out
['INFO ]2023-07-03 16:42:55,010(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-The user is in the Home page after logged in
['INFO ]2023-07-03 16:42:55,308(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-DataStructures Page - user clicks get started button
['INFO ]2023-07-03 16:42:55,478(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-DataStructures Page - clicks on sub module
['INFO ]2023-07-03 16:42:56,801(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-tryhere button
['INFO ]2023-07-03 16:42:56,802(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-DataStructures Page - clicks on tryhere button
['INFO ]2023-07-03 16:43:03,123(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-run button
['INFO ]2023-07-03 16:43:04,105(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-DataStructures Page - sends valid code and click run button
['INFO ]2023-07-03 16:43:05,499(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-DataStructures Page - navigates to refresh
['INFO ]2023-07-03 16:43:08,669(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-run button
['INFO ]2023-07-03 16:43:08,689(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-DataStructures Page - sends invalid code, clicks run button and clicks alert
['INFO ]2023-07-03 16:43:08,843(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-DataStructures Page - navigates back
['INFO ]2023-07-03 16:43:09,167(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-DataStructures Page - clicks on practice questions
['INFO ]2023-07-03 16:43:09,183(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-DataStructures Page - navigates back
['INFO ]2023-07-03 16:43:09,877(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-The user is in the Home page after logged in
['INFO ]2023-07-03 16:43:10,552(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Array Page - user clicks on the dropdown in array module
['INFO ]2023-07-03 16:43:12,549(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-tryhere button
['INFO ]2023-07-03 16:43:12,549(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Array Page - user clicks on array in python submodule and tryhere button
['INFO ]2023-07-03 16:43:13,806(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Array Page - user sends valid python code from excel sheet
['INFO ]2023-07-03 16:43:14,292(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-run button
['INFO ]2023-07-03 16:43:14,749(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-clearing the tryEditor for Array practice questions
['INFO ]2023-07-03 16:43:14,749(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Array Page - user clicks run button and checks output
['INFO ]2023-07-03 16:43:14,806(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-clearing the tryEditor for Array practice questions
